LDCT_PSNR,Enhanced_PSNR,Bilateral_Lung_PSNR,NLM_Lung_PSNR,BM3D_Lung_PSNR,LDCT_SSIM,Enhanced_SSIM,Bilateral_Lung_SSIM,NLM_Lung_SSIM,BM3D_Lung_SSIM
28.357025,27.733181,27.63007,27.682724,28.606514,0.9824288571880664,0.986263480230673,0.9863500566941686,0.985194921947719,0.989131094068375
28.278088,27.33948,27.16583,27.24768,28.01258,0.9818123891054197,0.9848709245638091,0.9845956816684596,0.9833433595433824,0.9875910507993211
28.130665,27.269869,27.126389,27.335442,27.956078,0.9804549790980751,0.9839100339011336,0.9835585186346838,0.9825193409857784,0.9869102946761069
28.193548,27.166561,27.11504,27.500309,27.914501,0.97833587635717,0.9819217297638785,0.9821703409512943,0.9811283286834519,0.9853166297107698
28.143593,27.266827,27.056995,27.348541,28.035358,0.9786620221337284,0.9827078763437975,0.9823797653928286,0.9807563870885678,0.9860663748955749
27.895626,27.374786,27.402288,27.7333,28.192598,0.9769702662997068,0.9830405221241872,0.9834923740460889,0.9819525239926336,0.9866539162451348
28.144884,26.900557,26.877045,27.426373,27.718477,0.9800197518793364,0.9839672456397994,0.984692085371492,0.9839004822643161,0.9873972133997543
27.689575,26.5543,26.364742,27.009789,27.295204,0.9785870684742896,0.9829820191971337,0.9832095885634919,0.9818733036125833,0.9865046314443874
27.673393,26.487343,26.494034,26.907898,27.193977,0.9751172176660446,0.9801043602759656,0.9808456143336666,0.9794496052643654,0.9843588813663411
27.579615,26.306513,26.318075,26.965828,27.004337,0.9760588209432814,0.9817312469810379,0.9826659905483005,0.9819028360516596,0.9854829021426877
27.677303,26.57442,26.684406,27.058125,27.340797,0.966206530752705,0.9747914046206955,0.9760050187803879,0.9743524879656205,0.9805706809432646
28.006403,26.948023,27.176859,27.541252,27.808552,0.9681062868091973,0.9757008921181517,0.9780128801489981,0.9760092964546937,0.9816929615659692
27.732075,26.518124,26.51817,27.10635,27.269207,0.9643993139972112,0.9731657925157052,0.9747818862522702,0.9730827561534031,0.9794953995019933
27.667374,26.391428,26.358501,26.931316,27.051472,0.9578782001677266,0.9684211564834889,0.9696385015087279,0.9679918206785751,0.9749170898930002
27.793766,26.109798,26.077934,26.57423,26.780092,0.9618674746598963,0.9691440506227414,0.9696344062549435,0.9680597531961941,0.9754155829636019
27.794333,26.073492,26.13377,26.662075,26.783792,0.9612445345367536,0.969330374598091,0.9701027022037759,0.9680794450499824,0.9754952470716519
27.648066,26.14338,26.25469,26.74924,26.885378,0.964108374568375,0.9723840790564416,0.9739623194172422,0.9716828674534039,0.9785495353566553
27.770777,26.468906,26.519684,27.043922,27.231098,0.9621652808185821,0.9705801911702547,0.9718088526780596,0.9695922958278923,0.9770114436192981
27.779387,26.355206,26.452324,26.904547,27.073372,0.9597359500241898,0.9682101695112529,0.9701056960863018,0.968183078215351,0.9749987153690404
27.71135,26.228382,26.284266,26.834715,27.011505,0.956733925078993,0.9649386706940295,0.9674293837667348,0.9656826139711706,0.9729399287467296
27.766125,26.162996,26.2461,26.810364,26.913452,0.9593868751443347,0.9684888793085974,0.9700366672082702,0.9684011008177357,0.9753455046367219
27.962261,26.685694,26.557257,27.109041,27.471176,0.9651493003720545,0.9723198210488848,0.9729136032165522,0.9710293860219981,0.9775139711716689
27.742445,26.51768,26.560444,27.077856,27.248144,0.9555457161823014,0.9660522728738434,0.9677145541807745,0.9660151597183071,0.9732048049373347
27.8076,26.575283,26.666906,27.171371,27.409649,0.9597539800287055,0.9694496497315616,0.9712533878622599,0.9693546485699462,0.9765536073630728
27.926598,26.458769,26.413824,27.101059,27.245695,0.9566687498928474,0.9666848861490146,0.9680154178124003,0.966083124869653,0.9739900318687376
27.982883,26.680357,26.625349,27.084679,27.48676,0.9595056865194079,0.9675058603186524,0.9678329939465006,0.9654440471901063,0.9743198312442278
27.879799,26.63989,26.726263,27.209929,27.426731,0.9574944711820628,0.9659532208977071,0.9670109481769336,0.9643397919002455,0.9728395468447504
27.95512,26.673079,26.899738,27.405457,27.52657,0.9573284673704112,0.9668389524258291,0.9689394055452445,0.966619706920799,0.9741501863759225
27.91397,26.876299,26.927042,27.337112,27.647423,0.960045510289491,0.9708228256287964,0.9724436741384028,0.9706497628995723,0.9774564843500342
27.724354,26.720217,26.93248,27.356167,27.5068,0.9586189721287098,0.9703335723559892,0.9721592220776804,0.9696840097912879,0.9773461459879581
27.834827,26.583763,26.658035,27.155682,27.353619,0.9625228194500351,0.971117533766603,0.9716408740830128,0.9695040339658116,0.9767759009499317
27.80169,26.245611,26.115849,26.621632,26.974968,0.9658595901832622,0.9723591898591997,0.9718237793752886,0.9705066649874787,0.9776248535466596
28.093391,27.133633,27.104094,27.26844,27.919914,0.970687583580544,0.9772421791015236,0.9776617352321396,0.9757711619838304,0.9819519494167874
27.955715,27.134455,27.106684,27.294777,27.939312,0.972308664685872,0.9792190494166869,0.980357265738826,0.9786406348445644,0.9841022455136859
27.96991,26.844923,26.702097,27.149769,27.586214,0.9597390208195282,0.9708346136558128,0.972342841858979,0.9707389886828601,0.9774094007855288
27.90089,26.578861,26.451626,26.946323,27.334435,0.9656281347036134,0.9728079325190224,0.974663630450361,0.9729915540507086,0.9793370071714232
27.92472,26.502333,26.196781,26.566582,27.224987,0.9669879298518606,0.9730616046751324,0.9727756740154467,0.9712056198539551,0.9787703808743633
27.948051,26.540207,26.29829,26.688171,27.202286,0.9651697446795429,0.9732544994750447,0.9740261800770553,0.9725313786836705,0.9787948763831663
27.841911,26.209938,26.169226,26.742142,26.929977,0.96663878684009,0.9753547032022823,0.977293241398202,0.9762813424362643,0.9810796162310058
27.906942,26.449848,26.506477,26.992908,27.178774,0.9657657450201582,0.9754427141010031,0.9777445427333589,0.9761983279365665,0.9813565789029347
28.062153,26.966772,27.097233,27.281168,27.673529,0.9629325164175665,0.9729668638012479,0.974955823270437,0.972784449644825,0.9794504327652429
28.019306,26.986813,26.908573,27.172945,27.673178,0.9645300191008994,0.9738725376770812,0.9746735004509213,0.9726622844275152,0.9794620460932609
28.116043,27.318752,27.162262,27.456236,28.00873,0.9675668099268515,0.9767723899129167,0.9774252375137852,0.9752939346193067,0.9814732005806088
28.113384,27.0315,26.78761,27.069454,27.626549,0.966342786633803,0.9751931760713248,0.975693632738171,0.9735485463886934,0.9800641114362537
28.103773,26.792915,26.480753,26.884916,27.483047,0.9692431380504488,0.9759980338642793,0.976513483111679,0.9752497797747999,0.9810605525395913
27.99997,26.5187,26.21014,26.456089,27.14312,0.9754910409944295,0.9809842252169373,0.9808290370366981,0.9793810678857553,0.9848838982704298
28.006973,26.97624,26.678972,26.76159,27.546589,0.983484045786859,0.9881711569794472,0.9888479352695565,0.9880639071560714,0.9909789294290665
28.087294,26.976604,26.394146,26.491964,27.570374,0.983821328918132,0.9877360515455577,0.9872877982919139,0.9861224450612553,0.9902481141351955
28.18033,27.130108,26.533974,26.52603,27.704603,0.9818412470327573,0.9851665847388391,0.984425278534509,0.9828787707260569,0.9881109330952088
28.185707,27.032948,26.390799,26.237562,27.4891,0.9814842423489687,0.9849720235799514,0.9837542670667784,0.9822622871310381,0.9875198060123993
28.161686,27.184725,26.916235,26.686811,27.702656,0.9762434863571633,0.9824618404020917,0.98252431219115,0.9805647998093004,0.98618850108353
28.17144,27.17693,26.965294,26.724037,27.690031,0.9783761945013426,0.9833333174233463,0.983742567722873,0.9815004682620428,0.9869992535918494
28.148148,26.99102,26.66999,26.393192,27.506054,0.9803744321849786,0.9846818010086765,0.9849743103827988,0.9831598606067694,0.9881311735957542
28.153402,26.44222,25.986496,25.711994,26.816563,0.9836400308129436,0.9860628699636849,0.9851961058571861,0.9841164796171554,0.9883757708740429
28.2206,27.77642,27.523415,27.725286,28.642246,0.9778492961720647,0.98356544144306,0.9844510742701368,0.983780346251288,0.9874919438064629
28.205208,27.38786,27.239592,27.560799,28.163723,0.9811969273959006,0.9850580103110023,0.9858582056724892,0.9851975927166811,0.9885536486670524
28.224936,27.167706,27.081072,27.423695,27.958462,0.9793080263103205,0.9841510337402791,0.9845924274498172,0.9840685208772639,0.9876616101222938
